,OlfN,TotalN,Tokens
disorder_NN,270,0,"['disorder_NNP', 'disorder_NNPS', 'disorder_NN', 'disorder_NNS']"
hope_VB,845,0,"['hope_VBP', 'hope_VB']"
indeed_RB,1229,0,['indeed_RB']
pacific_NN,78,0,"['pacific_NNP', 'pacific_NN']"
sincerely_RB,206,0,['sincerely_RB']
constructive_JJ,71,0,['constructive_JJ']
suffer_VB,865,0,"['suffer_VBG', 'suffer_VBP', 'suffer_VBZ', 'suffer_VB', 'suffer_VBN', 'suffer_VBD']"
keep_VB,2629,0,"['keep_VB', 'keep_VBD', 'keep_VBZ', 'keep_VBN', 'keep_VBG', 'keep_VBP']"
continent_NN,91,0,"['continent_NN', 'continent_NNS', 'continent_NNP']"
island_NN,266,0,"['island_NN', 'island_NNP', 'island_NNS', 'island_NNPS']"
today_NN,2667,0,"['today_NN', 'today_NNP', 'today_NNS']"
young_JJ,3228,0,"['young_JJ', 'young_JJR', 'young_JJS']"
believe_VB,1830,0,"['believe_VBP', 'believe_VBN', 'believe_VBZ', 'believe_VB', 'believe_VBD', 'believe_VBG']"
freedom_NN,890,0,"['freedom_NN', 'freedom_NNS', 'freedom_NNP']"
standing_NN,144,0,"['standing_NN', 'standing_NNS']"
nose_NN,184,0,"['nose_NN', 'nose_NNS']"
cancer_NN,370,0,"['cancer_NN', 'cancer_NNP', 'cancer_NNS']"
personality_NN,319,0,"['personality_NN', 'personality_NNS']"
change_VB,2556,0,"['change_VBN', 'change_VBG', 'change_VBP', 'change_VBD', 'change_VB', 'change_VBZ']"
